Date,Open,High,Low,Close,Adj Close,Volume
2018-06-18,10830.200195,10830.200195,10787.349609,10799.849609,10799.849609,196600
2018-06-19,10789.450195,10789.450195,10701.200195,10710.450195,10710.450195,224500
2018-06-20,10734.650391,10781.799805,10724.049805,10772.049805,10772.049805,193500
2018-06-21,10808.450195,10809.599609,10725.900391,10741.099609,10741.099609,223600
2018-06-22,10742.700195,10837.000000,10710.450195,10821.849609,10821.849609,229800
2018-06-25,10822.900391,10831.049805,10753.049805,10762.450195,10762.450195,229600
2018-06-26,10742.700195,10805.250000,10732.549805,10769.150391,10769.150391,220000
2018-06-27,10785.500000,10785.500000,10652.400391,10671.400391,10671.400391,246000
2018-06-28,10660.799805,10674.200195,10557.700195,10589.099609,10589.099609,352300
2018-06-29,10612.849609,10723.049805,10612.349609,10714.299805,10714.299805,242800
2018-07-02,10732.349609,10736.150391,10604.650391,10657.299805,10657.299805,295400
2018-07-03,10668.599609,10713.299805,10630.250000,10699.900391,10699.900391,202100
2018-07-04,10715.000000,10777.150391,10677.750000,10769.900391,10769.900391,173900
2018-07-05,10786.049805,10786.049805,10726.250000,10749.750000,10749.750000,220500
2018-07-06,10744.150391,10816.349609,10735.049805,10772.650391,10772.650391,0
2018-07-09,10838.299805,10860.349609,10807.150391,10852.900391,10852.900391,183600
2018-07-10,10902.750000,10956.900391,10876.650391,10947.250000,10947.250000,197000
2018-07-11,10956.400391,10976.650391,10923.000000,10948.299805,10948.299805,222300
2018-07-12,11006.950195,11078.299805,10999.650391,11023.200195,11023.200195,248300
2018-07-13,11056.900391,11071.349609,10999.750000,11018.900391,11018.900391,0
2018-07-16,11018.950195,11019.500000,10926.250000,10936.849609,10936.849609,0
