Date,Open,High,Low,Close,Adj Close,Volume
6/11/2018,101.010002,101.589996,100.669998,101.050003,101.050003,23490900
6/12/2018,101.099998,101.449997,100.75,101.309998,101.309998,18325200
6/13/2018,101.720001,102.010002,100.559998,100.849998,100.849998,29492900
6/14/2018,101.650002,102.029999,101,101.419998,101.419998,25691800
6/15/2018,101.510002,101.529999,100.07,100.129997,100.129997,65738600
6/18/2018,100.010002,101.110001,99.419998,100.860001,100.860001,23586000
6/19/2018,99.650002,101,99.5,100.860001,100.860001,28653100
6/20/2018,101.370003,102.519997,101.120003,101.870003,101.870003,26180800
6/21/2018,102.080002,102.459999,100.879997,101.139999,101.139999,23198200
6/22/2018,100.410004,100.769997,99.629997,100.410004,100.410004,38923100
6/25/2018,100,100.110001,97.300003,98.389999,98.389999,35433300
6/26/2018,98.82,100.080002,98.75,99.080002,99.080002,26897200
6/27/2018,99.580002,100.019997,97.400002,97.540001,97.540001,31298400
6/28/2018,97.379997,99.110001,97.260002,98.629997,98.629997,26650700
6/29/2018,98.93,99.910004,98.330002,98.610001,98.610001,28053200
7/2/2018,98.099998,100.059998,98,100.010002,100.010002,19564500
7/3/2018,100.480003,100.629997,98.940002,99.050003,99.050003,14670300
7/5/2018,99.5,99.919998,99.029999,99.760002,99.760002,18977400
7/6/2018,99.889999,101.43,99.669998,101.160004,101.160004,19234600
7/9/2018,101.650002,102.25,101.25,101.849998,101.849998,17417300
9-Jul-18,101.65,102.25,101.25,101.85,101.85,"17,417,300"
6-Jul-18,99.89,101.43,99.67,101.16,101.16,"19,234,600"
5-Jul-18,99.5,99.92,99.03,99.76,99.76,"18,977,400"
3-Jul-18,100.48,100.63,98.94,99.05,99.05,"14,670,300"
2-Jul-18,98.1,100.06,98,100.01,100.01,"19,564,500"
29-Jun-18,98.93,99.91,98.33,98.61,98.61,"28,053,200"
28-Jun-18,97.38,99.11,97.26,98.63,98.63,"26,650,700"
27-Jun-18,99.58,100.02,97.4,97.54,97.54,"31,298,400"
26-Jun-18,98.82,100.08,98.75,99.08,99.08,"26,897,200"
25-Jun-18,100,100.11,97.3,98.39,98.39,"35,433,300"
22-Jun-18,100.41,100.77,99.63,100.41,100.41,"38,923,100"
21-Jun-18,102.08,102.46,100.88,101.14,101.14,"23,198,200"
20-Jun-18,101.37,102.52,101.12,101.87,101.87,"26,180,800"
19-Jun-18,99.65,101,99.5,100.86,100.86,"28,653,100"
18-Jun-18,100.01,101.11,99.42,100.86,100.86,"23,586,000"
15-Jun-18,101.51,101.53,100.07,100.13,100.13,"65,738,600"
14-Jun-18,101.65,102.03,101,101.42,101.42,"25,691,800"
13-Jun-18,101.72,102.01,100.56,100.85,100.85,"29,492,900"
12-Jun-18,101.1,101.45,100.75,101.31,101.31,"18,325,200"
11-Jun-18,101.01,101.59,100.67,101.05,101.05,"23,490,900"
8-Jun-18,101.09,101.95,100.54,101.63,101.63,"22,165,100"
7-Jun-18,102.65,102.69,100.38,100.88,100.88,"28,232,200"
6-Jun-18,102.48,102.6,101.9,102.49,102.49,"21,122,900"
5-Jun-18,102,102.33,101.53,102.19,102.19,"23,514,400"
4-Jun-18,101.26,101.86,100.85,101.67,101.67,"27,166,800"
1-Jun-18,99.28,100.86,99.17,100.79,100.79,"28,126,200"
31-May-18,99.29,99.99,98.61,98.84,98.84,"34,140,900"
30-May-18,98.31,99.25,97.91,98.95,98.95,"22,158,500"
29-May-18,97.84,98.88,97.23,98.01,98.01,"28,338,000"
25-May-18,98.3,98.98,97.86,98.36,98.36,"18,363,900"
24-May-18,98.73,98.94,96.81,98.31,98.31,"21,540,800"
23-May-18,96.71,98.73,96.32,98.66,98.66,"21,114,800"
22-May-18,97.68,98.17,97.2,97.5,97.5,"15,441,200"
21-May-18,97,98.01,96.8,97.6,97.6,"19,422,500"
18-May-18,96.01,96.93,96.01,96.36,96.36,"17,865,800"
17-May-18,96.76,97.54,95.83,96.18,96.18,"17,246,700"
16-May-18,97.36,97.4,96.62,97.15,97.15,"17,384,700"
16-May-18,0.42 Dividend,,,,,
15-May-18,97.24,97.85,96.34,97.32,96.9,"24,594,000"
14-May-18,97.92,98.69,97.31,98.03,97.607,"19,454,100"
11-May-18,97.8,97.87,97.04,97.7,97.278,"16,778,300"
10-May-18,97.46,97.95,97.05,97.91,97.487,"22,388,100"
9-May-18,96.01,96.97,95.05,96.94,96.522,"27,327,400"
8-May-18,95.85,96.16,95.06,95.81,95.397,"23,484,600"
7-May-18,95.17,96.71,95.1,96.22,95.805,"24,242,000"
4-May-18,93.32,95.37,92.92,95.16,94.749,"22,531,300"
3-May-18,92.96,94.93,92.45,94.07,93.664,"31,142,500"
2-May-18,94.99,95.17,93.19,93.51,93.106,"27,471,000"
1-May-18,93.21,95.29,92.79,95,94.59,"31,408,900"
30-Apr-18,96.33,96.4,93.15,93.52,93.116,"41,523,600"
27-Apr-18,97.6,97.9,93.91,95.82,95.406,"48,272,800"
26-Apr-18,93.55,95.15,93.1,94.26,93.853,"42,529,000"
25-Apr-18,93.3,93.3,90.28,92.31,91.912,"33,729,300"
24-Apr-18,96.24,96.47,92.41,93.12,92.718,"34,524,800"
23-Apr-18,95.74,96.29,94.63,95.35,94.938,"22,331,800"
20-Apr-18,95.91,96.11,94.05,95,94.59,"31,154,400"
19-Apr-18,96.44,97.07,95.34,96.11,95.695,"23,552,500"
18-Apr-18,96.22,96.72,95.52,96.44,96.024,"21,043,300"
17-Apr-18,95,96.54,94.88,96.07,95.655,"26,771,000"
16-Apr-18,94.07,94.66,93.42,94.17,93.764,"20,288,100"
13-Apr-18,94.05,94.18,92.44,93.08,92.678,"23,346,100"
12-Apr-18,92.43,94.16,92.43,93.58,93.176,"26,758,900"
11-Apr-18,92.01,93.29,91.48,91.86,91.464,"24,872,100"
10-Apr-18,92.39,93.28,91.64,92.88,92.479,"26,812,000"
9-Apr-18,91.04,93.17,90.62,90.77,90.378,"31,533,900"
6-Apr-18,91.49,92.46,89.48,90.23,89.841,"38,026,000"
5-Apr-18,92.44,93.07,91.4,92.38,91.981,"29,771,900"
4-Apr-18,87.85,92.76,87.73,92.33,91.932,"35,560,000"
3-Apr-18,89.58,90.05,87.89,89.71,89.323,"37,213,800"
2-Apr-18,90.47,90.88,87.51,88.52,88.138,"48,515,400"
29-Mar-18,90.18,92.29,88.4,91.27,90.876,"45,867,500"
28-Mar-18,89.82,91.23,88.87,89.39,89.004,"52,501,100"
27-Mar-18,94.94,95.14,88.51,89.47,89.084,"56,569,000"
26-Mar-18,90.61,94,90.4,93.78,93.375,"56,396,800"
23-Mar-18,89.5,90.46,87.08,87.18,86.804,"44,068,900"
22-Mar-18,91.27,91.75,89.66,89.79,89.402,"38,604,700"
21-Mar-18,92.93,94.05,92.21,92.48,92.081,"24,457,100"
,,,,,,
